dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTh1,96,2025,SRSNet_PSRS,0.4364,0.4533,0.4350,+0.31,0.4531,+0.05
ETTh1,720,2021,SRSNet_PSRS,0.6635,0.6080,0.6577,+0.89,0.6025,+0.91
ETTh1,720,2022,SRSNet_PSRS,0.6612,0.6053,0.6621,-0.13,0.6065,-0.20
ETTh1,720,2023,SRSNet_PSRS,0.6641,0.6064,0.6582,+0.89,0.6033,+0.51
ETTh1,720,2024,SRSNet_PSRS,0.6633,0.6082,0.6643,-0.15,0.6065,+0.28
ETTh1,720,2025,SRSNet_PSRS,0.6573,0.6024,0.6598,-0.37,0.6039,-0.24
ETTm2,96,2021,SRSNet_PSRS,0.1481,0.2538,0.1464,+1.15,0.2515,+0.91
ETTm2,96,2022,SRSNet_PSRS,0.1476,0.2542,0.1483,-0.50,0.2525,+0.69
ETTm2,96,2023,SRSNet_PSRS,0.1490,0.2538,0.1477,+0.90,0.2530,+0.31
ETTm2,96,2024,SRSNet_PSRS,0.1473,0.2530,0.1487,-0.93,0.2538,-0.32
ETTm2,96,2025,SRSNet_PSRS,0.1471,0.2530,0.1494,-1.55,0.2539,-0.37
ETTm2,720,2021,SRSNet_PSRS,0.2621,0.3450,0.2673,-1.95,0.3441,+0.26
ETTm2,720,2022,SRSNet_PSRS,0.2655,0.3478,0.2631,+0.91,0.3436,+1.22
ETTm2,720,2023,SRSNet_PSRS,0.2655,0.3443,0.2702,-1.75,0.3494,-1.45
ETTm2,720,2024,SRSNet_PSRS,0.2689,0.3479,0.2780,-3.29,0.3544,-1.84
ETTm2,720,2025,SRSNet_PSRS,0.2764,0.3522,0.2752,+0.44,0.3489,+0.93
ETTh1,96,2021,SRSNet_PSRS_HypernetAF,0.4358,0.4527,0.4360,-0.04,0.4531,-0.09
ETTh1,96,2022,SRSNet_PSRS_HypernetAF,0.4357,0.4530,0.4359,-0.05,0.4523,+0.16
ETTh1,96,2023,SRSNet_PSRS_HypernetAF,0.4363,0.4537,0.4364,-0.02,0.4534,+0.08
ETTh1,96,2024,SRSNet_PSRS_HypernetAF,0.4363,0.4532,0.4365,-0.04,0.4535,-0.06
ETTh1,96,2025,SRSNet_PSRS_HypernetAF,0.4362,0.4527,0.4350,+0.28,0.4531,-0.09
ETTh1,720,2021,SRSNet_PSRS_HypernetAF,0.6630,0.6062,0.6577,+0.80,0.6025,+0.61
ETTh1,720,2022,SRSNet_PSRS_HypernetAF,0.6585,0.6029,0.6621,-0.55,0.6065,-0.59
ETTh1,720,2023,SRSNet_PSRS_HypernetAF,0.6615,0.6066,0.6582,+0.50,0.6033,+0.55
ETTh1,720,2024,SRSNet_PSRS_HypernetAF,0.6596,0.6032,0.6643,-0.71,0.6065,-0.54
ETTh1,720,2025,SRSNet_PSRS_HypernetAF,0.6577,0.6027,0.6598,-0.32,0.6039,-0.20
ETTm2,96,2021,SRSNet_PSRS_HypernetAF,0.1482,0.2530,0.1464,+1.26,0.2515,+0.60
ETTm2,96,2022,SRSNet_PSRS_HypernetAF,0.1477,0.2526,0.1483,-0.39,0.2525,+0.05
